12989	7828	30
191	478	15
19101	6327	32
2328	2994	0
16568	6440	4
19320	7610	34
14	2432	13
105	8809	2
108	3007	8
215	8838	18
21968	5087	13
1489	8780	23
277	3478	15
131	205	14
18129	1997	6
101	2049	23
534	5690	29
25792	2946	20
111	2194	7
104	2210	14
555	9505	8
2695	8823	11
227	5370	5
29356	6579	14
6434	2810	6
103	1410	9
112	5104	10
14	7555	17
103	588	11
1665	9190	14
208	1208	12
760	6985	7
12	5448	4
108	6551	10
106	4281	3
1683	4029	3
129	770	17
122	1974	11
12	8259	1
119	72	0
245	4848	0
2027	2335	6
133	5064	28
14	6511	15
615	2784	10
103	3457	16
30793	5442	18
145	5856	5
270	8115	13
1200	4494	2
881	319	25
138	53	11
103	6530	12
774	5952	4
588	8553	3
105	4592	34
123	9820	2
8577	1332	22
191	9561	2
152	9264	4
2172	901	17
14	2311	15
4251	213	12
838	1340	22
104	5895	21
1522	5062	1
113	4883	14
143	3845	21
971	1579	2
11935	9464	15
104	8395	16
12	1446	18
136	2140	19
103	6246	4
105	3115	2
119	1478	0
3105	9775	24
19486	8486	0
104	7995	33
11221	9587	3
4666	2488	1
507	6782	3
104	1226	11
104	2085	12
101	1420	14
118	8262	1
3380	7554	9
1654	2955	4
125	9655	6
352	6586	17
143	6918	9
5329	9236	10
16495	8225	26
113	4720	4
158	1943	15
21050	1837	27
109	4918	1
2577	455	1
4770	8737	17
336	836	1
112	2034	2
809	9438	0
8	7402	8
124	1243	25
1183	1607	1
1356	7851	16
11071	4304	12
3509	7808	27
101	2048	3
121	9335	21
101	9034	21
2052	8384	7
496	3070	0
103	7883	12
1912	5719	20
10391	1545	9
110	407	6
312	825	9
2486	6060	6
101	9611	7
5213	2273	32
3223	5387	4
109	2773	10
609	820	9
107	7832	12
14	6060	16
24133	4297	18
15699	2893	0
127	5475	15
5521	8907	7
16252	2446	41
21076	2478	13
153	9428	15
115	6757	0
110	901	39
802	4977	12
554	2681	30
3343	4229	17
101	8673	15
201	2676	0
5507	2810	2
108	4124	1
106	1105	7
12	3242	27
424	3642	24
12	5413	10
8788	9698	31
12	1193	2
3430	7190	8
991	9299	6
108	1177	11
174	5434	0
14	6688	29
11014	5949	5
1892	3619	27
14	3390	48
107	8982	6
22226	9167	2
103	3434	8
170	7663	20
15883	7200	3
115	9089	2
112	8670	21
161	5915	4
115	6306	0
103	5666	25
663	9375	0
161	7226	1
117	8903	7
7217	8572	10
3293	4581	3
107	7057	14
101	3555	13
9211	404	29
247	49	33
14203	686	13
2494	1880	5
19556	259	5
142	7660	19
164	6087	26
8817	3834	30
5459	7100	10
4852	6553	10
226	5626	6
205	8894	7
102	2852	4
21	8551	6
253	3787	8
687	3907	6
755	6214	8
104	4998	5
125	8850	28
114	911	3
108	4251	3
12	7236	13
158	1702	38
105	7949	4
12	6767	19
222	5415	12
106	5311	17
1123	9897	0
109	8116	8
12510	7273	24
2085	7645	1
189	2425	0
379	2341	4
736	6590	13
181	199	1
109	4061	28
1233	5446	17
398	9529	7
10145	8298	8
104	9513	10
1461	760	20
687	2059	18
114	777	21
104	5419	13
391	1159	1
7719	3306	5
12	3818	25
124	5656	3
8	6251	24
27984	3757	20
101	6089	2
113	791	20
101	7400	7
178	7432	4
27612	392	23
105	7790	14
5653	1209	5
250	8354	0
2992	2661	17
12	5638	2
11813	8687	4
105	3844	11
12	9954	8
12	3496	30
106	5434	22
139	241	6
108	7188	31
131	9857	2
14	8902	26
8	97	14
137	2227	22
471	745	1
182	8040	0
125	7056	19
902	7052	31
152	1909	10
452	728	9
20491	8135	5
122	2167	17
103	9166	5
4	1623	9
1575	3129	7
526	4020	13
956	966	2
1830	1553	8
121	8025	2
21651	4505	3
123	4378	16
104	7916	5
130	2214	16
121	2617	20
6303	7167	11
125	3412	15
14	9125	16
403	4189	10
1495	7303	21
5422	871	3
193	5003	12
102	7552	3
104	6209	13
114	5419	4
104	4741	20
116	7115	15
101	938	5
1597	4549	19
317	2476	22
12	9195	10
2557	8742	5
19205	4905	25
103	7744	15
110	5819	19
338	1260	3
117	8289	8
8524	4607	12
21457	8449	39
7049	2577	3
111	7194	24
3549	1486	13
959	8712	16
103	5921	8
103	2626	7
12	37	7
29366	1196	20
1358	5705	11
800	3462	9
165	1388	7
129	503	41
232	8712	4
5926	3992	8
25231	3471	6
106	8240	7
103	6250	5
17614	98	2
10810	8098	8
248	5413	9
30316	9000	26
12	8392	2
152	9978	17
107	7642	11
102	2273	1
101	8455	2
109	1181	22
205	1758	19
104	9834	25
125	7263	5
105	2698	11
12	7780	20
2331	4095	1
13157	6266	13
624	6780	14
106	8374	17
1065	2059	26
4544	1999	14
21280	6310	3
1475	5181	21
2659	7953	8
1299	1081	13
5483	9219	11
1052	460	4
1427	6971	26
22934	6541	2
18999	6906	11
438	7480	15
103	760	37
566	4316	5
14	8300	20
439	3998	7
12	5194	1
146	9986	23
1473	3472	4
1913	2551	6
465	2511	30
101	4683	3
116	267	12
101	8777	4
205	9723	6
772	3049	2
1626	791	15
161	7038	20
5700	9792	7
5854	7450	4
107	2711	17
14	1329	40
2231	597	37
203	8144	27
8455	7693	15
4635	7570	16
687	5064	0
1027	5864	24
15297	6310	13
120	2716	22
9	4046	8
205	1302	3
101	3659	6
112	1491	15
1430	8983	23
5710	5371	7
28065	2681	9
108	4914	28
110	8313	18
3156	9589	9
9	637	40
5837	2422	25
11884	1927	7
12	2122	4
109	7489	48
30397	1236	7
4679	6544	21
102	3750	5
147	1121	4
14	4624	40
118	1348	11
12097	4659	5
10703	9409	11
149	281	6
8	3299	7
117	8907	6
215	4837	26
101	7715	6
101	9003	26
109	1713	14
8659	1955	14
463	4425	4
109	154	16
149	3818	36
1173	3831	14
102	341	39
14	6701	8
3285	3893	6
14	8462	10
2674	5236	7
105	7333	15
14	9920	8
