521	316254
1167	71497
6265	259249
6555	192527
996	248367
4945	102293
307	178186
498	170373
5443	375823
5662	440188
6512	364616
3	283804
5384	391695
1719	238389
319	60299
6779	151451
2008	28628
6258	183509
6957	47385
160	209277
539	147184
6268	273071
1214	197118
1402	253637
4741	360207
3804	225130
5828	7066
1730	372729
1293	143391
4301	146975
3758	148738
370	127618
1264	143903
278	8124
4571	160695
536	81581
603	229349
7020	352112
2946	386699
4681	207342
6133	88194
2598	423158
5189	342746
6958	402994
4458	350048
112	63379
4995	445132
2293	77776
191	279501
496	308404
63	272900
3127	3205
2845	327344
263	367760
1597	270945
543	57067
284	361639
6402	140870
6596	252528
28	62825
5016	259412
1471	401797
6038	364717
3908	157498
1638	275258
780	288770
1494	80782
6327	57128
1023	258587
886	1436
4346	450110
6966	137681
1249	356267
3240	243249
4596	8297
54	427532
5702	200870
365	245833
5141	375967
919	267115
3792	2696
2691	412350
980	96038
3164	116177
1713	83748
1685	440642
6441	465513
5428	137415
1277	447975
5461	444113
6840	62213
1045	63203
88	88060
2238	401092
7006	443692
1464	72710
3072	240123
3609	143270
3972	435548
83	51405
3159	181784
6624	136805
4628	8329
5119	434172
1953	359188
4546	332368
148	344984
1154	294220
197	36930
1466	334354
571	25970
5262	143142
6858	111838
2699	212125
1071	342284
5845	461447
425	171045
391	32182
1100	251213
1212	105221
1988	317271
1118	131132
1637	42047
3669	207810
37	174337
642	438517
67	108039
826	156111
4934	201572
7015	107114
1387	188371
5402	218755
3133	82196
273	68490
5522	281162
110	214409
3182	455677
75	328190
4282	268620
947	96412
4675	204623
4076	43815
6220	117129
2423	180008
1935	241220
4651	5394
2797	48879
791	56146
3266	208465
1053	220355
6544	287433
4956	447832
1809	159715
2262	164929
2635	350977
4762	147888
2617	340036
2525	422123
729	270681
4235	152671
5497	60657
1045	163817
1764	18807
6814	57445
1541	39104
366	143297
4930	191122
294	152441
3099	29739
250	66271
5364	415310
1851	409256
1030	374162
84	205073
3456	109952
6400	444799
5323	135732
3113	409803
46	445624
2968	94939
1765	58556
2048	36575
1759	212191
30	187789
6705	97677
768	173597
3909	262943
6140	281819
2324	323862
1764	97672
1885	463885
2417	210311
4338	113365
226	208403
59	137622
4812	21394
5883	347875
6660	323399
5076	5374
5424	226448
509	254469
234	63075
6945	12304
1726	219150
5478	385181
5118	59265
331	347346
5852	263175
2991	303444
98	75464
3018	279454
257	453699
5288	43676
4606	361065
2185	290696
1953	294653
359	35489
746	126776
5830	452487
154	213817
900	339408
1882	306762
1334	108259
908	276962
2461	11840
6872	159832
55	56699
385	93050
6142	381639
1721	337844
3091	90644
433	59698
6830	422026
2175	339588
1292	375698
953	301768
2721	389023
1080	34456
3396	185923
1837	235810
2133	416359
1590	257686
5144	352849
4439	312852
6587	192134
3871	378026
1479	351943
914	50269
1072	438175
1960	432164
368	176068
5572	159240
4744	265559
6143	459266
4112	29939
5748	429775
3971	434560
5956	443021
1999	239628
2796	314500
4355	94145
3145	39151
3353	56798
967	252116
1970	254946
1316	48811
5944	357305
1631	11802
492	120755
5153	444439
470	298429
4907	252834
2188	423386
760	290578
4055	403608
2489	339020
6246	439495
2896	380631
6931	318751
1382	110030
6388	424793
6188	109723
2768	123985
3462	217148
1060	186081
4100	98753
4589	367745
816	43875
443	219756
3328	277484
3117	87913
229	447304
2275	257739
4517	371283
2224	130997
4	9341
3420	33804
5961	1203
4273	235921
95	215355
2120	149451
1777	259771
4884	189668
401	178711
54	341526
4683	311822
6808	54035
2724	269901
1434	327740
5711	411143
6446	211143
3844	201705
1278	439629
114	396099
1235	61630
1005	89363
1942	439927
553	385089
430	378491
4955	329489
6618	149673
1811	218868
6475	40966
4008	322152
5375	33438
6667	280094
3932	184367
4837	88958
1012	451543
734	308009
6992	36099
1848	256788
571	436765
5054	69341
335	150382
4959	370123
869	205337
784	441509
1377	93845
5115	128742
644	28526
4608	461091
3732	458131
1222	373564
1349	116234
5897	166895
1649	270020
1660	65750
2295	384088
4461	320950
1070	425979
4980	32201
3755	122323
226	5762
5745	167703
1796	407332
82	434194
1526	73250
246	212017
1007	105940
991	332006
933	297983
1697	30808
76	403225
4330	423129
170	312716
4329	106297
1840	162766
4639	86032
493	452785
646	72155
2931	383451
5409	62086
1084	157872
5074	45359
162	220004
1573	240055
1777	295709
5864	368403
400	92244
4715	422219
571	235530
598	220753
874	22340
5430	263303
890	351311
2860	388268
6906	224850
3356	288876
1905	260553
6221	38852
5340	281149
5299	283244
4278	414211
6552	291086
2340	423061
207	135389
6644	171166
676	243973
4637	213740
4229	452092
594	64669
6589	11587
6451	85389
6839	231557
3082	228384
86	453627
1832	314161
883	167413
3859	330733
1522	210317
1028	123712
5641	392889
6079	284363
1434	279440
1381	275510
5024	191126
4448	385753
88	163408
114	407026
5804	203447
180	69770
5140	294182
3026	219461
286	35223
5392	352256
1967	248604
1664	154701
291	317849
140	332590
5495	250600
1280	431297
1758	251870
1926	67259
1308	299347
4923	427290
6528	203309
1670	439294
839	81754
5111	429550
633	372929
222	454438
824	139488
577	184188
101	80611
759	243405
4180	452561
6735	360242
5669	87300
13	228693
6395	277949
3673	41755
3779	306882
1228	266401
531	274983
397	427402
1495	257866
293	137259
589	28117
694	349460
1672	35351
190	334249
4492	164724
1908	383317
3220	152799
5601	104850
1931	210145
5758	63551
3503	322959
1663	463547
1261	291419
3801	128418
918	19841
1646	22430
4714	290616
1454	170935
32	362187
4662	118278
2136	170134
545	139613
4496	173199
220	237759
958	415992
6369	167824
684	242899
1435	269874
5916	459810
5221	91390
602	364435
5929	229236
217	365287
3542	435737
1430	282752
3347	72153
1379	335776
4161	51082
5104	93498
4936	135605
2147	82594
559	88787
4577	275838
449	33614
5765	26326
3243	5525
726	390055
2923	429557
2355	326864
3046	437496
121	270878
436	324552
1	283260
1984	214100
7034	164591
1312	203043
1584	318701
77	271427
2840	336831
4317	4895
40	224715
1164	85262
5728	333807
50	166641
1813	200734
1211	171321
535	371053
225	67061
5591	262989
7027	256779
3842	4954
3168	434734
556	461410
1552	380988
25	333002
131	316293
4986	327716
5363	27215
126	364047
476	67959
461	312860
1900	95033
1068	369028
1732	194375
6042	247945
950	198340
1509	258623
2078	247641
1019	391511
5740	346114
840	37336
987	83472
6048	157223
5422	246339
496	305867
1216	369908
7032	71266
3315	301126
6094	38377
2343	459629
934	127274
434	236756
1524	30891
1478	333909
781	147024
33	79905
3652	303622
3816	328141
79	30975
3750	439482
3601	166644
2305	8180
7017	260519
1139	284350
7018	199226
3625	137011
2465	444656
1039	248190
2586	117983
672	166104
2159	344438
431	379597
2210	52349
1305	285644
2335	146354
4296	399345
4880	324481
682	25151
3880	327682
2353	239440
4	71247
3898	136738
1969	363035
1057	153132
2068	292484
2879	399381
5562	19238
2156	423732
596	387990
268	11842
1181	401826
1563	364980
4938	375529
170	313046
811	198949
6160	305532
6944	32878
2644	432395
5731	208498
913	308570
5230	51876
1994	107378
3706	252380
4709	441856
72	384883
3326	313471
3832	136516
5172	418583
1169	154290
514	337602
930	49913
7039	431241
3778	228305
1403	154217
5608	292774
5090	64132
6287	124329
1109	331140
7026	413760
3678	34495
6991	123970
5444	346037
1532	333437
43	412572
3914	280265
5654	2076
4902	89099
1183	146949
317	125938
5463	68651
1722	62481
77	316339
4790	151409
1158	257396
74	375256
2583	285355
4419	446677
3985	396581
396	3204
2656	212152
272	297105
2662	406402
5839	291558
411	173832
6062	150435
6928	186119
2818	399250
6383	222242
3473	6844
77	205728
358	304114
5130	9697
6540	147021
4682	166900
1589	287015
5770	178302
179	256537
920	306816
1697	237845
396	164761
5095	305662
1681	239472
5436	37006
4636	197431
5659	118666
600	369601
1307	47241
461	256190
1078	265980
4250	231059
1163	417818
5050	362839
15	363272
3582	213989
862	23843
377	26857
243	135979
178	360073
103	44415
5524	54604
5355	109751
6483	27002
2530	10296
5411	213718
2990	228540
2679	53770
142	441143
732	272717
758	438699
3166	457698
1798	425807
726	402237
344	90553
3028	415918
4137	203185
929	388266
676	24415
2618	436566
1017	297826
5017	82263
1257	350386
1456	267102
310	258046
1735	204398
6973	325931
5049	1067
6835	18590
6612	333837
6	229602
521	382459
4094	236369
1483	86077
3711	90991
79	218433
1361	449511
1376	144654
6353	232413
561	226956
5612	400747
5297	369619
384	346480
359	267265
185	105885
5274	213645
2767	186459
6417	224251
3939	114142
1087	126586
340	317814
964	154931
7	29144
2257	71031
1006	123786
185	447463
5	64941
2713	153351
6110	93721
5078	189972
1368	278318
1218	35502
591	61869
1210	203733
1042	445672
3457	192327
6007	345852
921	337387
1763	7177
4747	429165
2454	361727
3833	266066
124	267826
1758	334163
4920	373554
341	439904
160	164119
5970	318911
4729	251829
322	69574
1472	172161
1515	130664
4703	209124
264	105565
4588	279955
192	271413
1246	382391
1954	8568
2351	199685
137	221690
4757	321609
6019	187606
5	165779
6954	457847
42	188389
2195	328277
2167	454141
3194	299640
2301	258030
272	256167
993	254991
50	362718
2884	230477
63	194308
4170	389802
6690	63955
6796	210401
439	295855
793	121448
106	362802
5107	8786
6209	230926
4017	441671
3259	457081
739	446619
1550	210598
5809	324480
1783	68152
2771	180708
1176	323462
1870	374320
3992	303724
1328	286001
124	383812
4892	275631
6599	58312
3573	13410
6937	219553
1107	341850
540	55771
3399	453259
1789	56022
1716	310225
4927	190387
6109	391136
270	63363
5318	311721
3847	191415
1245	167400
905	352555
1653	374997
6913	285307
6233	198885
532	71092
2259	332384
1444	317893
18	11188
2083	48231
5922	16339
2232	119140
309	415984
569	88990
3617	101643
447	439145
2388	451100
1047	310068
1049	25563
1157	19109
251	157938
135	412719
585	36471
926	108301
5039	238134
5781	171723
4195	68416
1778	153247
3629	378085
1782	361014
1585	240378
195	36
507	89301
3799	189370
2178	150830
356	250379
309	195827
1834	236782
260	458051
1963	32953
197	419027
1665	388726
3876	38832
5453	264908
1314	90577
1863	143344
2654	391952
859	109310
1576	64769
4228	270297
227	137159
6020	333198
684	355134
1588	162072
4234	276800
1144	438953
4670	404472
444	149283
3904	30086
199	355152
4165	293683
5802	27592
1583	39529
5691	394309
232	39898
155	102243
5330	292670
5989	166258
90	89534
4077	171811
2330	191031
3528	134847
1559	328957
1828	274561
1939	288668
6604	305998
5657	344384
1506	449510
4019	415863
1958	295462
3894	296458
6054	140747
5260	41149
1448	463396
6482	367284
1561	213767
1774	196939
6580	87478
159	71482
4555	75147
4510	58437
5062	83427
4226	303735
2073	376059
3255	264959
5521	156225
13	432579
6059	447064
3426	231790
5219	448132
1162	237911
1593	399562
23	432133
5044	416818
5486	118007
697	237282
673	27424
153	357290
6800	261537
52	116473
2072	17640
685	144648
6283	177555
2437	270802
2056	15061
158	417191
2781	13898
1086	373729
5977	432230
5361	301124
5493	443576
1731	160834
3803	358441
563	419581
382	49852
2809	207762
1222	382451
24	107969
5393	158699
158	333235
4978	447894
226	285149
5163	170008
1734	84076
5043	361839
1904	249146
2971	139692
1262	363566
6745	336148
152	257882
2836	38903
