2115	114	5	7.64
396	112	21	12.11
1864	148	3	8.4
182	102	97	15.58
249	126	17	11.21
5248	105	3	7.97
45	696	6	11.1
234	146	12	12.35
497	576	4	19.73
342	107	28	9.43
2046	102	7	6.88
3070	109	4	8.25
160	1257	3	7.93
390	1688	3	19.13
101	3560	5	8.38
163	2004	3	11.29
135	1034	4	6.72
426	110	18	7.02
2482	119	4	9
3479	101	5	8.38
1623	169	3	10.2
1874	135	3	6.78
1162	132	4	7.05
279	12	75	17.32
151	120	59	23.94
2665	104	7	16.4
704	2214	3	25.04
4148	1027	3	34.73
109	142	101	6.98
2654	729	3	26.29
136	125	46	11.3
938	12	20	18.16
826	197	3	7.33
443	134	9	13.99
3510	101	5	8.38
1379	110	12	28.2
696	45	6	11.1
150	147	28	17.77
840	104	14	8.69
126	120	95	10.52
1885	586	3	22.02
163	725	5	12.65
571	341	3	10.19
730	634	3	16.06
333	103	38	11.31
3916	101	5	8.38
208	764	3	8.2
131	480	8	10.66
297	135	11	9.87
169	1111	3	7.52
989	120	16	56.42
206	4428	3	20.36
2238	3438	3	37.36
106	6430	3	8.03
106	289	44	25.25
375	405	5	19
1070	140	4	7.58
133	1837	3	7.03
3721	118	4	11.89
4838	121	3	9.51
712	728	3	17.35
145	116	76	14.93
4894	107	4	11.32
288	109	35	18.97
3797	124	3	9.39
5780	114	3	11.19
335	275	4	8.29
115	3245	4	10.29
414	295	3	6.88
408	376	3	8.55
110	426	18	7.02
106	2983	6	16.07
343	229	4	6.99
606	1937	3	23.14
1264	131	5	12.24
127	114	124	11.85
2363	114	5	9.09
105	1233	10	9.1
1087	102	12	7.45
110	544	17	12.01
373	753	3	12.95
113	460	19	16.34
262	279	7	17.46
123	1483	5	9.71
138	1010	4	7.02
896	114	18	54.98
286	2742	3	19.08
318	164	7	9.35
1383	105	12	21.66
114	5781	3	11.19
1483	144	5	16.57
118	1124	17	70.82
207	129	23	16.64
3227	102	6	12.59
213	499	4	8.4
235	367	5	11.14
125	2628	3	7.77
119	1980	4	6.65
186	131	20	8.36
733	144	8	23.24
494	178	5	10.26
110	6221	3	9.69
1896	102	9	13.26
2939	129	3	8.97
370	510	3	9.72
111	2373	5	7.42
541	128	9	12.32
1389	190	3	9.64
248	147	11	8.4
142	115	86	11.55
535	548	3	13.1
209	12	153	96.51
101	4511	4	6.71
12	1074	16	8.93
12	998	17	6.67
719	110	12	9.1
106	6687	3	8.03
2009	12	9	8.16
116	916	8	7.63
1898	132	6	22.66
1989	120	4	6.78
208	977	5	22.22
115	1656	7	13.11
107	2050	6	7.2
146	319	18	47.04
191	2067	3	12.63
811	352	4	22.52
113	6008	3	10.59
114	183	44	6.67
102	957	15	13.32
253	173	9	12.21
101	3303	5	8.38
1390	101	11	7.3
629	209	4	9.95
128	3398	3	10.08
243	784	3	9.22
178	12	156	19.86
266	221	8	16.72
169	103	108	15.92
103	117	561	35.63
338	108	28	13.86
