393	7297	22
3207	3919	2
106	8415	2
58	6636	6
12	8389	23
3422	6370	12
31191	2764	13
12	4386	12
8949	6114	2
12	6659	9
902	4740	11
12	7208	23
108	8564	4
103	4623	3
679	6077	20
423	6904	0
6513	7111	3
20305	5556	8
1619	5580	15
1294	3955	8
4599	1795	9
31840	6814	13
12	9546	3
807	5267	9
5340	9862	17
466	2792	11
517	3976	5
17900	1283	12
11512	6046	14
105	309	11
30524	3545	26
1160	2881	14
355	4178	19
265	2561	2
12012	1066	5
8091	6530	15
117	3943	11
12	7666	38
3329	7835	4
1232	5889	9
4657	7237	0
141	7395	3
19456	4918	13
1896	8189	7
12	6433	21
102	5485	11
2737	5547	23
10763	7837	7
17356	3311	11
14908	5967	4
1930	3262	16
136	3290	12
174	6749	10
1114	4887	1
101	8372	32
1041	7767	4
103	6221	12
201	5841	7
14	3756	31
103	2497	4
113	741	1
16635	687	0
12	9833	11
16611	1467	4
1002	665	21
17184	9853	3
21876	9319	2
19950	278	1
4281	5983	10
102	715	9
120	3486	5
107	957	5
12	4609	4
12	3938	11
997	4003	7
32538	7375	11
129	7501	5
16726	7356	5
29835	2838	12
14	4651	24
539	8658	3
112	5315	13
836	3861	12
813	4686	21
7750	7875	16
3098	5117	3
5495	836	0
259	1555	0
1046	9399	18
129	9385	7
1357	8199	6
2539	6659	10
30830	6672	31
164	9057	2
101	9477	13
311	2713	10
19633	4874	0
582	4728	5
12	2667	9
101	6632	13
1123	4963	1
111	7483	9
38757	9572	31
6236	7799	6
205	7636	25
175	5621	3
12	8077	9
12	2511	3
2162	2800	4
7009	801	1
307	8232	2
14	5228	28
5788	2717	2
26936	8486	9
103	4865	7
1136	4863	1
152	5910	4
2216	2783	4
5538	6372	14
14	7848	5
7718	2831	15
108	4216	7
104	7214	12
5944	753	16
5157	8584	6
12	9284	7
206	5178	0
5984	8689	23
12	5000	2
13633	3771	23
12	6313	7
5176	8472	14
3145	4479	29
5092	9982	3
154	7289	27
2	3628	18
14	7401	19
3717	443	18
30486	7298	8
2	4778	1
266	1190	27
12	3407	7
2670	6948	1
118	6018	24
151	1819	22
12	6925	13
1720	1827	14
4058	3456	21
35671	205	4
2	9274	35
13202	4690	21
138	9588	14
101	1702	14
12	4843	8
529	6878	1
1776	5733	19
2	8499	33
2477	6198	10
12479	1974	24
12	2467	25
158	9405	9
481	6903	5
349	1711	14
12314	1856	12
1467	1223	24
4794	9565	27
34890	4572	26
101	5483	16
442	6898	16
102	5666	25
156	9296	10
12	195	10
14	4453	30
14	8322	5
7285	8755	20
157	6196	15
2837	9294	9
7753	4742	6
3861	3692	9
12	5313	2
14	6148	25
103	8041	2
37510	9803	15
8956	7783	14
1734	6425	14
497	882	7
2	6050	23
16099	2720	8
1147	5490	6
12	3043	27
102	5667	13
705	8013	12
85	1616	12
1421	4798	3
2308	8735	5
5763	7636	16
2	3465	12
1730	6361	29
125	8331	14
1054	7460	11
12	4716	10
2864	1871	4
501	3147	18
11768	6420	12
8246	613	5
17025	3149	4
14649	6419	11
1713	7188	24
1212	4015	0
6638	6340	13
194	2412	6
117	8034	5
599	525	11
302	1533	24
163	2121	9
14	1605	10
12	417	20
209	5379	2
110	7249	11
9508	6745	7
22203	8518	13
17819	8252	15
21	6243	14
12	9954	8
112	4551	26
108	6170	17
298	9270	3
2611	6031	18
104	9743	11
115	6504	9
27249	9522	4
12014	7747	5
28351	281	7
575	8389	3
24851	1490	3
12	2498	22
6156	3872	4
104	275	33
6690	701	23
2118	437	0
2	2721	3
30488	5898	14
21061	7705	0
3361	2348	1
8	3428	6
59	2335	22
104	1187	24
101	9125	16
105	9662	7
197	2954	20
8	559	11
34266	3080	15
185	2418	14
10547	8177	0
139	2866	19
1256	451	18
34407	6974	14
901	1668	5
21928	636	6
15805	9864	11
30325	2551	4
2431	9878	1
1216	7492	0
147	9715	5
21	7530	12
382	867	22
5530	1749	0
116	2766	2
895	3060	25
12	6344	8
12	8718	22
198	8932	6
7683	7686	22
14	6818	22
167	4646	18
10906	7144	4
688	4972	22
106	3381	9
1516	8734	10
973	3782	10
116	1121	7
34450	5869	20
1542	8589	5
2764	2267	12
36552	7324	8
143	2786	6
1681	6367	12
13730	1776	4
21216	8606	0
107	7542	1
85	733	29
103	3586	19
878	9917	1
1414	7658	18
85	4788	9
827	5805	18
22566	4758	4
106	5593	18
124	2266	15
2626	4739	16
285	7090	5
29700	2271	14
110	6234	12
14908	1835	5
12	612	17
260	9119	0
211	8545	23
17293	1334	11
104	6471	21
279	8479	14
12	163	17
104	1473	6
101	8903	14
563	420	3
428	6706	10
170	8983	4
11915	1077	16
4266	9663	8
170	2141	18
2814	7470	7
14258	2358	18
14	137	13
10047	3146	1
14	3459	22
4300	3225	24
21	3169	6
101	9901	6
21	4354	9
101	7077	26
105	6768	15
1742	9124	10
3425	8248	10
396	4942	11
1425	444	11
18632	6589	4
3275	8696	13
2	7431	1
121	3796	30
7264	8750	4
885	4078	5
14	7758	8
20977	9885	12
12	6309	6
1393	3493	18
109	7671	24
101	7524	8
8508	4988	24
637	8959	17
12	3842	16
30002	6337	4
140	1519	13
15145	9820	25
422	2508	6
121	2544	16
2389	7325	16
1480	3801	13
14	3789	16
181	2062	18
7426	1927	8
115	1697	8
568	882	18
105	5585	14
2	6535	5
8148	7685	7
1584	2621	6
114	8140	9
409	560	9
2	3616	19
4762	9332	21
4169	4920	2
14	8135	14
226	9232	8
2693	6928	22
12	2479	24
8157	513	22
102	9608	21
14	2265	35
7002	8764	23
147	701	12
9	4628	11
12	6598	12
26306	4507	9
559	3616	13
8	7117	20
413	1086	24
10604	7009	28
2	3750	5
2640	7679	15
2	5061	10
2894	1050	10
58	4780	12
31927	3603	14
105	9557	31
1773	1332	4
353	9264	6
188	6968	17
1858	9211	11
323	8103	9
85	5521	19
6919	4167	38
145	8289	11
11411	8917	10
14	6152	24
124	3610	9
1009	5301	3
12	1345	11
160	2893	8
4512	1890	19
102	4677	4
15210	3481	12
2626	3402	17
14	257	31
8	2624	8
254	8194	11
21084	8176	0
104	9671	27
985	5154	7
102	109	6
514	6750	5
659	8730	18
17479	6507	3
57	5652	2
179	864	25
12	4997	23
12	9289	18
118	7919	30
1206	6387	1
685	2411	10
12	2253	6
13601	2488	19
12	5550	9
102	8996	9
12	6465	14
14	5508	21
2	5928	0
731	3185	3
14077	5575	4
14	8776	16
5199	3735	7
121	720	1
180	4297	1
953	7926	13
12	4548	1
130	7341	16
34050	1873	9
120	5395	17
3772	9686	5
8747	7824	12
2660	5174	22
2191	4014	7
101	9262	14
12	9761	2
5521	4268	5
2949	4177	8
1568	612	34
102	8361	5
1535	5369	6
3115	1745	8
4596	8115	9
12	6860	2
2733	4027	9
24333	9427	12
697	663	7
24942	85	23
152	5491	1
31583	8439	16
17351	1358	1
264	9987	11
12	4273	32
22303	5065	6
5315	2215	5
9572	73	4
317	2911	10
1002	6553	13
12	7846	10
12	1035	7
122	2385	7
3580	4425	10
7450	6727	3
3313	6545	10
85	2488	16
57	4271	33
170	5720	9
675	3225	23
2036	3462	7
3005	7440	22
2	8714	3
450	7399	8
5324	8118	12
13308	7791	22
36999	5185	10
103	8672	19
14	2569	28
124	3479	5
695	6073	11
2212	3758	5
217	2343	1
35975	4622	15
116	3687	0
2259	2683	12
313	1073	8
5768	3970	9
14	5326	25
218	9250	15
19833	5252	0
3207	8230	1
2	4524	14
14	2477	22
36757	6520	3
3944	6086	1
4029	9336	10
12	5348	5
12	4906	7
613	3715	2
3023	2064	7
22767	6596	11
102	6925	5
11023	3291	5
116	4832	7
101	9385	12
30168	5914	23
37486	9976	24
104	8737	11
13577	980	9
33400	2417	8
6788	3079	1
85	3860	12
4603	7022	10
10993	1803	17
29416	4189	10
104	6060	24
4380	7731	19
12	2438	30
101	3143	16
12	1385	25
1830	4119	10
5037	7632	3
8822	6082	12
12	6952	10
360	7019	4
110	5809	1
2746	6295	22
125	2113	1
7450	6626	29
117	4684	13
7156	1229	1
23703	2703	13
31258	2752	18
484	3545	30
14419	7739	16
102	9511	5
2069	3156	1
156	9906	13
9	3645	8
4883	1092	18
5151	9514	10
4904	469	7
2	322	24
121	2108	10
14	9291	28
1902	6717	21
2083	146	1
12	6246	12
9284	1506	12
16619	641	0
104	7393	7
240	8893	1
114	456	6
18969	1178	1
35253	7541	7
29177	8873	18
20397	6592	23
348	5377	17
3807	3289	5
6625	5514	20
134	8692	2
102	2023	12
153	4732	7
207	4585	15
101	4873	19
435	9417	9
12	5933	1
25242	3307	2
280	7707	4
776	1868	10
123	6226	17
4302	949	9
989	3698	14
28309	5326	24
14	3151	12
23686	2875	2
2767	466	17
114	620	12
2	2575	7
2004	3278	6
12	2412	18
102	3585	9
101	8652	20
12	6405	6
12	5610	1
12	4644	3
159	2936	0
108	1074	6
38290	243	9
14	7022	12
167	2375	5
