900	1825	4	34.57
122	569	11	27.07
227	533	3	7.72
955	108	11	20.92
2800	125	3	8.42
597	123	6	9.4
181	103	62	37.29
262	1198	4	19.68
1	1986	4	17.15
111	1968	5	10.58
103	2634	7	12.5
4237	311	3	21.89
168	4996	3	18.47
667	238	3	9.69
168	2941	3	14.7
3897	3880	6	101.02
468	301	3	8.97
3180	119	3	8.39
198	139	9	7.89
106	516	14	10.84
2977	753	3	24.82
332	389	4	14.49
123	597	6	9.4
1148	1463	3	23.42
3853	218	6	50.41
9088	114	3	16.07
270	292	4	8.97
107	3799	4	8.02
185	1290	3	11.02
104	2842	7	15.14
2028	5230	3	36.68
2835	1449	5	53.78
1909	298	3	16.72
108	7808	3	13.99
475	474	3	11.33
1455	143	3	7.61
4267	134	6	43.03
259	151	6	7.37
2440	302	5	36.33
2	5888	4	12.35
184	235	5	7.9
107	1448	9	16.41
158	128	19	18.47
2412	183	3	14.13
635	1918	5	40.33
110	4061	3	6.93
85	6262	3	10.7
254	847	3	10.56
2580	120	3	7.24
890	116	6	9.5
2426	134	4	16.57
370	143	6	11
150	146	68	290.39
1311	115	7	17.82
5259	102	5	13.52
1762	105	11	24.41
124	6297	3	15.13
659	101	21	8.74
206	2679	3	18.83
220	428	6	21.34
114	1249	6	10.31
121	2780	3	8
917	1364	3	20.8
12	607	32	10.76
600	1969	3	20.94
1370	7328	3	38.83
1891	12	13	6.81
2465	113	4	9.6
1158	2506	3	25.9
85	7545	3	15.02
8899	21	3	20.7
112	2203	4	8.15
822	710	3	16.26
105	2085	10	24.31
377	1651	3	17.06
114	3999	3	8.18
117	1498	5	10.03
436	14	45	7
1245	127	4	8.15
1301	140	3	6.68
113	150	37	35.48
410	791	3	14.21
8488	103	3	9.01
119	3628	3	9.32
495	366	5	23.24
281	678	4	15.96
787	531	4	22.21
804	1931	3	22.07
1292	1	4	14.05
140	4480	3	13.98
2431	111	4	8.1
1046	1015	9	85.81
13	432	5	9.3
103	3586	5	7.65
109	5288	3	7.79
180	5055	3	19.04
117	1302	5	8.87
374	311	3	7.65
221	1158	3	11.69
4567	503	4	45.24
274	884	5	24.91
806	125	6	11.9
302	7064	3	29.99
188	1427	3	10.91
2146	3912	6	87.56
3742	232	3	18.81
101	1248	13	7.12
3853	1189	4	41.48
251	747	3	9.99
963	162	4	11.77
787	131	11	38.61
137	1560	3	7.93
1515	491	3	18.01
176	798	3	7.19
189	2740	3	14.96
7047	105	3	10.29
126	2483	6	30.88
2027	104	7	9.58
139	806	5	11.96
265	1795	3	15.19
1100	163	3	8.14
506	168	4	8.44
6907	104	3	10.23
202	528	5	16.3
3422	168	3	15.7
598	13	4	7.94
577	237	3	8.41
292	309	4	10.83
223	1301	3	12.21
111	4293	3	7.61
1835	773	3	22.32
1431	201	4	17.47
1116	104	18	45.45
3002	115	3	7.38
121	8997	3	18.94
272	1340	3	13.17
101	4000	6	11.56
382	1381	12	110.85
3213	2838	6	80.57
4558	397	5	53.5
12	1631	15	7.86
223	437	3	6.65
2377	251	4	25.16
331	2147	3	18.25
9	397	9	12.25
177	12	115	11.42
503	214	3	7.56
9	515	8	13.07
133	374	7	11.39
128	249	29	92.7
272	504	3	8.7
101	2663	8	10.09
4242	105	4	6.88
3604	101	6	6.78
372	775	3	12.58
398	4556	3	25.14
127	2340	3	7.65
227	8	12	9.39
5336	131	3	13.79
943	2329	4	34.94
124	3942	3	11.47
775	434	3	13.51
1627	452	3	17.71
841	331	6	36.21
103	4297	5	10.12
311	264	4	9.49
3693	785	4	38.72
1044	127	5	10.93
1201	949	5	39.01
1368	125	4	8.84
1154	3324	3	27.88
8	5583	3	13.75
101	362	34	9.94
103	8699	3	9.01
21	455	14	43.2
2228	1073	3	24.58
395	1173	3	14.99
560	1979	3	20.41
2224	156	3	11.65
1979	131	8	39.47
146	558	4	6.82
107	7909	3	12.6
105	9232	3	10.29
501	3701	3	23.53
752	133	4	7.16
152	342	6	10.49
1030	351	3	14.34
152	266	6	7.65
610	236	8	39.09
271	106	20	7.96
105	2654	9	30.89
193	472	4	9.75
1778	7652	3	40.62
12	1171	20	10.49
1568	551	3	18.75
2607	162	3	12.28
623	108	9	7.81
132	268	9	11.18
7034	2977	3	44.08
177	599	3	7.5
193	369	4	7.73
105	2858	6	10.32
127	411	6	7.44
1109	663	3	17.83
543	249	5	18.91
104	2583	7	12.86
256	352	8	35
2	1735	8	8.47
579	116	7	8.53
322	201	4	7.06
3476	116	3	8.34
3586	593	3	24.48
2	1855	7	9.12
926	178	4	13.53
7386	7387	3	54.67
3897	5595	3	41.85
990	1282	4	29.84
162	258	6	8.32
117	1045	5	7.03
411	404	3	10.21
6918	293	3	30.45
7826	430	3	32.36
6974	105	3	10.29
1703	104	8	10.57
14	126	297	24.86
867	167	3	7.05
7521	110	3	14.71
2513	9	3	6.93
105	6609	4	13.72
1206	196	3	10.79
123	1113	4	7.15
173	1127	3	8.79
2060	122	4	10.77
6717	101	4	7.7
4259	116	3	9.47
2481	5070	5	72.14
301	691	3	10.73
153	421	18	81.24
164	1098	3	8.08
2	7231	3	9.26
317	395	3	8.03
1868	1360	3	24.98
8	2796	4	12.34
1333	8338	3	38.45
294	1449	3	14.47
1676	116	7	20.93
288	864	5	24.8
264	102	34	10.45
262	736	3	10.64
302	541	3	10.11
2252	244	4	23.93
111	386	10	6.76
105	1259	19	65.31
1283	424	4	24.64
122	2046	5	16.01
45	2959	3	23.82
313	257	5	14.71
107	983	9	11.45
1063	154	3	7.16
9207	1011	3	37.44
112	3050	4	11.06
803	8	10	29.41
2373	2	8	15.67
555	315	3	9.8
5062	252	5	48.22
442	250	3	7.19
122	3211	3	8.86
9	1845	4	9.46
1000	830	3	18.12
986	190	3	11.99
203	1832	3	13
358	103	22	6.82
407	1594	3	18.45
431	261	6	22.82
104	1635	8	10.57
857	336	3	12.51
8	238	10	7.4
57	385	11	22.81
8	156	40	68.48
3988	852	3	28.02
179	123	25	42.11
5475	177	4	34.87
3720	127	3	10.68
140	125	38	51.38
1227	622	3	18.28
759	1394	3	19.61
693	2027	3	21.72
116	7180	3	17.45
12	308	67	27.73
12	106	1246	118.1
1177	2682	3	26.32
1107	537	3	16.58
7179	119	3	18.51
293	3333	3	20.94
130	193	11	8.47
239	3710	4	28.82
