99	1367243
98	577192
99	1610385
38722	1105161
232	746878
146	935741
5868	1696039
825	1268482
430	77881
2238	1256404
17746	861785
98	742437
644	895704
8657	502519
3623	876198
98	1459297
15955	561278
14	920646
103	1566416
13	27705
101	1550410
98	1661127
4561	327231
591	1157938
34784	725491
14	152452
189	1482685
263	1636911
1069	1043638
126	1558426
9	811012
351	938548
14	793371
192	1392559
99	350102
1852	924984
8155	939200
217	869741
188	160385
117	1147011
12	695944
10337	1418310
38066	53044
3296	229207
228	768474
1960	1089001
101	559109
98	880880
489	1092107
147	1590478
120	968912
540	1045956
19413	1214772
101	84655
189	441958
14527	242370
41182	838048
14	30321
1235	1550818
3872	1405434
1018	757157
3075	744160
102	1511795
11511	1450182
225	948832
226	483571
4901	920061
12	776067
178	1492933
9	397037
25772	286619
2484	1134734
30189	1697859
43396	757696
98	282483
411	1155207
14	72634
4227	340029
5667	1050569
42820	1214257
163	578264
103	762171
14850	1079223
586	448242
12	1239787
33536	1699224
212	746197
99	1415932
1286	620878
194	1656806
98	71360
316	265758
313	32969
98	1465029
631	1511795
160	28702
744	1320138
22201	1206153
198	1342456
14	247868
103	419543
35219	732715
9926	717967
14	438157
5325	56601
3196	1067682
7872	1468692
10633	1721715
6610	108220
37677	356224
12276	1645296
149	201497
6347	27591
157	1515986
28192	1432409
2008	1306002
7408	1169775
1034	1368779
99	1600478
579	1612157
38552	1621232
1453	835108
32592	844236
39315	1726276
36235	534475
6013	313566
14	306478
101	448242
3144	1551831
31124	345074
99	11907
1361	240817
22160	895227
38708	84701
98	665718
12	596641
2018	532922
30543	269838
98	421600
422	895227
279	1425141
99	141382
98	930916
14	422402
9341	1695294
99	408728
12947	793706
103	1692311
41079	1113021
155	1518178
99	124537
168	121732
40048	68080
102	400431
158	1089198
5843	621828
20169	1359091
2152	608533
38288	739034
18149	1141740
241	346811
14	1732199
501	1203578
14	63676
9652	1633938
98	1237104
37139	1738083
128	629201
14	814863
6330	714089
10803	1468692
99	1434068
35215	1123608
2784	354763
40663	970477
98	1425158
98	736515
1886	1199751
133	957246
38240	1138031
731	16383
2022	1498519
28050	46011
17682	1346319
979	1699005
238	334728
41156	351214
4663	1071584
14	770668
26209	183470
7340	1093361
98	852098
40490	4323
98	395514
4809	1576667
21720	1706178
2338	739165
1935	1721009
99	114991
98	1317162
98	949
7584	1222542
1503	949607
98	724907
30621	1213578
17683	1321545
101	802188
11243	802513
8477	31032
3007	1007211
105	936090
2466	1487297
381	957512
98	937804
1964	1627476
1295	1040856
103	1545524
27495	1512198
12	625976
13701	530008
99	1570079
2269	1722594
98	1240908
1572	699149
12	1465092
9751	933744
37958	499736
28967	1394013
14	603434
1242	1706756
12	1167665
99	1125139
2260	1432019
2049	896753
3185	922099
25224	530008
8537	581609
9116	635424
106	308038
377	1743192
106	795059
30677	563053
39151	759282
4505	1517939
1658	219570
17964	755313
1332	277611
128	1511566
817	630721
285	313429
26951	933053
147	150192
10868	946810
114	867238
788	1746180
98	1701548
794	1676411
1974	1457452
3007	1381071
135	1000118
134	1629766
6681	741810
2506	1558418
1170	132865
98	1400605
8416	1212242
41003	151613
2866	1745434
1298	611701
14	131920
666	1645284
2262	1736092
98	543551
99	531745
658	1728588
134	1465038
9978	1067048
10811	1185264
5564	1551442
276	1094911
131	1043690
14	940276
14	496274
22281	1154767
12223	1635344
3222	1551442
98	1038430
37047	1103548
30775	748387
1958	1574279
14	217274
11531	1271059
31520	693316
27962	855538
99	530008
99	1332803
30702	881843
7332	321839
485	821951
2835	1553747
14	182420
119	9357
36917	1200323
272	350128
624	1583399
35288	152006
41821	1268715
99	329821
6391	821951
194	1314162
12	619604
123	558123
12	895227
266	1211294
99	1067601
116	150905
8682	1317983
353	1515986
220	1167349
98	180616
187	581068
792	676010
105	1050283
672	99299
26797	617969
1457	435783
21838	1707108
14448	1188507
510	543251
103	558182
24004	637318
105	1045415
14	224952
22526	408728
126	1144927
98	1060583
15351	422512
102	1151156
110	400236
14	655086
14	1425141
675	1637019
21	403220
14	146049
12	33878
98	323747
26327	15413
103	444575
98	1374852
12539	511806
99	1129816
12	152502
200	1382992
14	1620388
2842	1372201
98	402213
99	1635160
3108	1212527
30756	1380925
15007	718528
35017	1427584
12	335192
124	434985
30400	579849
14	1457452
36290	1405010
2676	1324226
99	1168783
15670	511201
14508	1405010
19108	113840
1392	679511
7041	655086
113	1636911
197	1199751
101	747907
99	1628056
794	758800
34831	11907
10995	1042254
105	675433
98	1034725
99	786704
1057	28836
16857	733811
27530	542190
1034	1380050
99	510421
98	939437
99	1333631
289	967892
4354	1697346
3552	1503098
12	716111
2281	1614883
6875	420854
6263	1530683
14	220128
13905	164252
32264	176481
12231	735739
172	1522610
98	1098326
411	440111
98	1727180
22810	72290
25677	1672885
119	1537580
107	378300
14	1235991
3807	1213462
20567	1381561
101	306380
98	721076
98	1229045
6474	509653
1186	250936
12	1557257
16392	790202
34460	1198085
10431	355174
14	1728888
5620	541253
6977	570324
585	1424792
10841	33333
712	1100121
14	1244967
99	1392622
5330	336195
12910	1503657
376	400491
12	709453
14	1653576
98	1418727
99	1583399
12	167343
126	829338
3817	908352
98	833577
8907	218791
38854	652104
1648	1754421
19034	1066871
105	734666
627	180616
104	1736698
188	1375889
1275	5356
14	1418295
28368	1596211
37743	774642
10348	230332
106	1385738
101	1251002
38808	56937
23276	1574638
307	957063
198	166704
3161	1048113
12	1641063
31482	1113673
741	792170
17776	202906
7734	1625383
18665	1109476
196	114049
6341	418141
41704	754528
98	1635844
35482	393016
102	532101
15740	102699
14909	331192
103	1461365
18808	1603474
3312	1067048
11457	180123
4028	323793
179	1724805
40359	427337
12010	490353
203	793328
98	932731
4852	588854
23086	1238415
102	1676760
101	106447
12619	520863
14	294846
