14	8819	32
43624	9369	7
104	7023	16
110	23	8
117	8723	5
106	6204	12
14	1391	10
13773	525	23
102	2733	2
801	6991	0
129	678	4
111	3411	9
101	709	14
134	6045	14
13	5002	13
4910	8246	14
2273	1643	9
154	7100	2
27504	7971	2
1840	2053	7
257	2301	12
683	3133	9
681	2556	7
1783	2438	14
13944	8959	12
12248	7664	4
39663	7584	10
12	6340	9
126	1677	5
118	149	10
45127	3492	19
1577	6398	22
44029	6663	21
2789	2044	7
1486	5996	15
10775	5958	11
17755	6177	0
22963	8620	25
5239	4125	9
162	4806	4
4881	3115	25
12022	4697	18
11208	6989	4
30264	6089	14
1957	9650	3
215	4134	7
184	1857	2
102	9455	2
129	4588	24
47186	4651	31
102	687	15
33486	4428	19
1814	9466	0
837	2289	18
12	2220	9
45506	5480	26
137	2879	6
2371	1448	2
101	9218	1
6393	799	4
842	9468	3
27692	3675	17
129	4458	14
104	8269	6
1867	5698	12
101	7654	3
105	5007	13
671	9134	8
30428	429	13
229	9373	16
1356	4554	1
7479	1544	3
158	9872	5
1072	9825	0
463	5762	15
1	6850	14
1838	1828	11
44158	4847	7
112	7909	4
1023	2039	9
107	5459	5
22215	5273	10
7332	7514	13
9	7139	21
101	6540	11
612	2400	27
12	2511	3
1222	5275	13
44177	3457	23
1849	5532	1
19752	2782	7
1015	3276	25
102	6703	14
9	7458	7
32917	5412	11
129	7982	19
3868	2460	5
12540	259	28
104	872	19
117	3544	3
614	2656	7
775	1697	2
12158	874	12
3980	7009	12
40121	3018	32
14	7528	9
5300	3072	9
14	5705	12
2759	5097	19
215	4527	1
15776	3969	14
16031	9666	18
173	7067	2
121	2321	18
24598	5536	8
102	5476	3
125	1889	17
102	7749	6
360	44	14
198	3520	5
12	1646	2
14	6375	29
12	6888	17
103	3015	0
44775	2551	14
103	2304	0
12	6191	17
352	2809	5
35486	8134	13
16885	4951	0
9	8364	13
378	6374	2
513	4339	15
14619	9769	13
359	4364	12
743	3682	8
167	1703	5
12	195	10
47387	6123	19
101	3078	17
8571	1239	17
102	581	3
14	3967	38
6547	8916	11
170	1885	12
12	8973	7
1777	7166	20
12	5412	30
5036	4041	35
31949	4123	20
5723	3271	3
105	8260	14
22870	9757	0
42267	1226	7
106	1906	15
12	2466	13
12	643	8
16718	8077	4
18594	377	6
2022	7972	16
2204	8272	1
39254	9434	15
1714	3109	8
104	7464	20
109	3640	0
412	4721	7
102	2176	14
110	6963	3
2937	3448	1
14941	7635	14
109	3327	0
10628	6488	11
25419	7864	12
169	5052	0
11616	3147	10
481	7061	27
101	1028	28
23306	5915	7
444	4691	4
1955	2737	9
101	7400	7
880	9592	4
596	2275	14
42029	7114	7
14	3905	31
2623	8411	9
108	5686	11
103	484	0
12	9991	20
349	4328	13
1821	8576	4
101	5834	19
101	4356	17
129	2607	10
43762	4206	36
11349	3644	15
37898	3304	25
101	7104	8
237	8301	9
2018	197	11
1083	9745	30
120	5361	2
108	4959	18
120	6174	5
395	2530	18
178	7073	17
182	8225	10
155	5017	6
24483	4515	26
47996	1716	11
4970	4897	4
39202	366	4
192	6620	5
6530	8298	2
44128	6767	2
2793	9042	4
1	9892	13
1883	543	24
105	4868	14
110	732	9
4193	7913	1
44974	3194	1
13417	1820	7
101	4646	13
107	6455	1
101	1124	7
2685	6734	9
2487	3247	4
107	5252	33
1033	1798	13
103	803	0
108	9179	3
12	6445	20
14	106	9
282	9553	29
43993	4425	27
5662	2238	8
246	340	13
101	5709	17
127	7909	14
2875	2175	19
443	5528	15
101	6056	13
1776	464	6
107	4182	6
42191	9082	6
149	4409	7
103	1709	0
106	4723	22
16	9465	22
12	8619	8
17997	2221	3
3190	350	13
4326	2259	10
7828	7451	4
12	37	7
12	8270	20
243	3901	3
6880	9576	12
8190	2245	12
21160	7935	15
10197	2851	26
31577	9845	5
224	1374	23
3413	2808	1
14	4098	9
323	1988	12
1453	2829	6
122	7027	23
12	1672	15
1682	1692	12
48175	2929	5
12	6670	28
10386	7996	6
101	4357	5
23048	9973	0
239	2345	7
1204	6331	0
19471	7271	0
12	7780	20
14	2601	18
11027	3823	6
106	2585	27
103	1130	0
14	8547	4
14	3074	12
809	4944	30
13	523	16
102	8682	1
102	9764	3
253	9738	1
26315	6936	23
12	4996	3
13889	6544	5
20585	9808	1
212	5126	8
512	7674	6
165	8227	5
2842	918	25
101	967	11
178	5696	18
107	7828	13
4344	128	11
101	3880	12
3854	6240	12
104	1194	16
226	7285	16
7449	4998	7
32356	4611	24
116	3504	4
8558	144	3
7714	2903	1
164	1358	7
2420	9143	16
2192	3733	33
38535	2823	6
587	5393	3
104	1068	6
101	9444	12
1336	2867	10
2219	2645	19
113	4580	14
930	3303	13
1087	133	17
18494	6878	0
11282	112	2
482	3961	2
1843	1756	7
128	8838	4
14	9921	28
168	6152	7
5869	6849	0
101	256	11
23384	2937	8
5009	5668	17
25478	9259	3
369	6196	17
101	3082	16
864	4339	5
102	585	2
46967	6280	9
1135	6262	16
85	441	7
32992	326	14
101	4015	14
4090	5389	2
3085	8162	8
101	5378	3
25363	6299	25
101	2436	16
104	5002	4
12	6178	4
16793	4637	17
34239	4510	12
101	5955	21
155	2841	7
27717	6368	3
101	5798	9
5152	8750	10
101	3083	4
102	8739	5
150	6451	22
179	4743	4
997	6317	18
165	8960	13
4293	4099	5
44726	2216	25
298	4157	5
106	1565	4
936	2706	15
258	8636	11
104	4841	14
117	5789	7
109	3315	1
101	5039	11
106	3736	11
12	6885	4
1276	1178	8
105	9537	13
12	72	9
10731	2372	11
236	2536	3
112	9412	3
172	3256	4
101	6954	4
3230	4281	12
18279	3261	4
1055	2466	19
123	6815	3
2386	3581	15
325	6829	17
14	5577	21
105	1254	4
15279	7534	10
12	3214	8
12	4589	7
1837	996	26
170	6528	35
1812	1843	10
40040	8915	10
9116	7490	8
1810	8121	4
1563	1303	15
103	643	0
607	7440	0
59	6600	9
285	8184	3
40054	3035	18
107	6295	1
520	9255	4
5337	1707	12
2375	5418	6
318	6245	2
143	8632	32
1198	1254	0
1331	3405	13
9616	3244	15
3475	2728	4
153	9104	7
102	2213	9
1684	9941	2
7271	3450	27
4143	7186	11
1317	3614	17
130	9419	18
106	8883	15
12	6730	20
12799	3846	8
4361	8968	1
29922	9181	1
103	68	0
14	5290	31
40820	9174	11
102	32	6
26690	414	7
10113	4311	12
107	1175	4
1073	7534	13
1206	6896	4
12	4012	20
106	8471	5
616	1380	12
12	2439	10
17	9463	14
465	3439	20
111	7987	2
15438	349	27
2347	7348	8
7050	1873	23
444	3126	4
3521	2271	3
843	535	3
507	1728	13
14	9548	16
12	3081	10
3734	7936	31
9955	1190	9
20814	8696	0
3482	3353	1
101	1347	5
20876	9635	10
104	3876	5
493	6488	0
102	3371	9
117	1626	23
12	1488	34
5674	3704	20
21858	9870	1
2462	2233	18
4281	4903	3
463	3623	9
156	7447	25
3828	8819	5
12	6639	10
4215	3223	1
16	7512	8
103	1482	0
12	2724	2
6648	7889	21
30587	1512	19
444	4150	1
15891	4537	0
103	1805	0
107	5688	4
110	5787	29
16766	9103	3
47195	4082	15
12323	1474	25
124	645	24
13249	2997	1
14	4167	21
12	3883	22
106	2778	17
11400	4063	10
12	5037	5
133	2069	14
114	2499	3
3995	6590	2
137	8252	13
21135	5261	8
109	4189	0
12	9582	16
21993	2427	3
6016	6354	1
20635	8578	16
48052	3221	19
1070	233	9
59	2378	5
107	6553	5
85	4973	34
101	8842	14
5827	3653	10
110	3741	10
30332	7023	3
3899	8370	1
136	4437	28
208	8683	8
34649	5346	14
203	1662	16
6563	3285	5
14552	6735	16
24532	184	1
116	6765	35
2586	1043	1
111	9625	6
11807	5566	2
2608	3184	10
101	9193	4
102	302	2
15151	4620	1
129	7810	18
13	9473	17
104	708	18
12	9704	6
42759	6532	6
126	8460	7
201	3186	5
3308	2662	13
147	1983	8
106	6970	3
128	8013	18
4327	27	5
3235	6761	6
23170	2160	22
9814	1989	21
6302	1793	17
12	5710	11
12	6817	12
988	8794	16
14	1485	15
14	5185	7
36546	5341	2
2737	3032	9
1	1794	16
151	5329	15
538	5173	25
30615	8712	3
14555	414	2
288	107	10
4865	1626	16
12	7983	12
897	8343	9
12	588	3
225	376	11
14	7365	28
12908	686	22
1890	858	7
27379	2681	7
113	5289	4
3928	5847	16
1621	5409	4
34996	4442	24
12	488	9
114	299	2
15319	2152	0
6222	3346	3
12	714	21
128	844	3
136	2141	15
7431	8253	13
469	6662	0
770	2768	1
105	4111	20
12	1249	11
46751	9484	5
57	4845	17
42146	438	16
262	6133	1
279	312	9
153	51	4
1286	4227	0
9002	1619	11
2493	2205	10
3863	5447	25
358	1671	21
31928	2557	2
12	5833	9
118	5115	5
330	2258	7
22588	9667	0
13514	2852	4
212	8521	5
129	8361	6
258	2164	1
107	1722	8
10935	4941	6
101	418	14
121	7838	22
13067	5040	6
2172	5935	6
280	8763	1
9647	2280	5
12	3202	9
1339	2554	5
1292	7390	5
3172	6939	8
30030	6725	23
40527	8810	6
954	1535	29
108	8659	8
1698	5390	14
14	7908	17
8464	4493	1
8961	8158	0
5992	8745	0
211	4736	0
101	9635	21
101	8037	11
2569	5498	3
29377	1327	9
12	3878	3
12	8320	11
156	6512	4
46845	233	10
11204	1615	12
5792	8111	1
14	1231	10
12	270	4
39831	9283	27
101	9857	9
1762	8630	1
8514	2049	8
373	5561	0
26648	3705	10
7565	7676	1
12	682	14
14	8491	13
2252	6136	0
14	7203	17
9664	2	11
101	6600	3
982	2467	16
119	6366	29
654	1787	2
1	8612	16
5728	9652	10
5012	7747	6
337	6572	16
135	9016	12
8311	2318	14
14	8846	19
1723	9873	1
13095	8512	8
30456	861	9
104	9763	4
101	5991	6
2808	7869	3
1431	6451	17
101	5762	26
21461	8930	0
1380	512	12
114	1446	19
6366	1969	10
14	2949	19
1910	8686	4
7447	2502	1
128	9581	1
587	7701	1
37337	4628	12
102	456	15
104	4683	11
102	3367	8
38739	7778	19
10782	7967	27
123	7006	12
104	7267	12
101	6891	11
7361	9559	25
7310	2678	12
4379	4795	0
12	7402	9
1905	9335	14
106	3929	4
107	9335	20
464	103	9
3530	1214	7
7804	915	27
102	171	5
305	8328	1
2283	2273	2
5638	5407	12
12	5025	4
14	7018	17
106	8604	6
3406	9266	5
101	5372	33
144	4139	5
817	1325	6
101	4071	7
338	2913	13
3773	7987	7
101	9389	17
9111	8892	0
804	2747	1
422	9240	2
29873	936	15
16	6140	10
12	9033	15
103	2208	0
254	2689	14
7626	7279	13
14	3111	11
19919	1373	16
476	9184	4
6781	991	21
12	7168	5
28523	5351	2
139	3685	5
3324	1963	3
12	1709	8
886	5378	9
12	3915	13
274	7189	9
296	9022	2
12	1130	8
361	6816	25
1460	4179	1
12	7970	25
14	5644	16
543	5995	16
101	2378	15
107	7992	12
10055	5491	7
124	2656	12
101	9189	5
4593	3443	1
103	2663	0
3146	1747	13
28534	5362	4
225	1274	10
14	1473	14
2024	7180	30
45904	3176	1
272	6768	13
102	5316	3
102	8968	6
101	1537	2
15631	9670	7
6041	3358	8
850	3681	14
1951	4	17
120	1083	7
12	9166	13
36192	1691	1
16039	4596	0
101	9679	15
109	3423	0
20007	30	3
1302	8923	5
113	8488	22
188	9298	7
3045	4441	20
14	4994	16
5946	1759	16
13838	759	3
101	5737	2
663	8986	25
101	9835	5
101	6028	30
432	3969	25
101	6209	5
4593	7581	23
462	6603	12
101	9058	7
111	6968	5
101	6564	25
297	1593	1
14	7247	11
41115	3661	11
12	803	8
196	3404	1
1813	5170	5
1201	8905	5
154	1023	9
12	3625	19
12243	1845	6
168	6565	18
109	3992	0
255	2788	28
9618	4677	11
41700	5839	26
7389	699	8
120	1788	7
23916	4747	8
316	4051	15
198	2857	5
36922	6375	27
2962	2947	20
44746	3477	3
108	4014	10
1015	3254	7
39790	2708	20
727	1496	24
14	3473	15
366	4452	27
3199	3290	12
405	1587	32
6503	7970	15
12	9521	9
14	8620	32
119	7982	9
6090	9897	0
34720	270	19
144	7538	6
14	6546	19
25740	1014	12
4767	6925	6
10351	1384	33
10452	6592	7
40004	2744	5
12	4441	6
122	9519	8
2744	19	18
12	3060	11
105	6356	22
492	4248	0
118	2707	34
1438	9010	8
518	6141	4
187	1514	2
140	9844	11
25087	1006	16
1417	5821	8
1087	9817	15
12	9116	1
38493	9997	11
1022	4972	27
3125	2770	10
12	3864	21
4270	3277	4
14	6832	15
7191	8753	13
24858	17	18
424	2979	8
101	1975	6
101	8695	11
908	6625	30
133	3344	34
12	6939	9
108	8200	2
252	1808	1
105	4979	5
305	4881	14
14	1426	22
259	3234	20
107	3814	8
1992	78	4
2003	220	21
206	3392	17
261	2944	1
3186	9611	4
8203	7108	6
111	5286	6
1535	3297	1
5290	5540	10
5518	470	2
2307	357	1
474	336	1
40058	9917	4
16	6534	1
770	6596	16
1312	3870	3
12	2931	9
183	5716	16
948	3722	15
12	8987	3
167	8121	18
174	8269	0
212	6545	20
3308	3221	8
46582	6000	11
12	4889	4
40601	4553	12
5753	9234	11
104	5214	3
102	7536	10
101	5400	6
3135	4686	5
101	858	12
114	3357	10
12	7068	11
14	9598	7
1089	115	3
1715	8850	8
159	3467	5
101	1840	4
101	9918	11
121	7719	2
2750	6479	14
127	5328	10
395	2000	16
12	2032	20
12	2847	19
130	7892	3
14	5053	18
1339	3970	3
14	9329	23
4117	7345	3
29325	1133	3
104	1692	13
137	584	5
21	9735	4
132	5955	6
12	2398	5
14	3231	11
2805	9613	4
1915	2624	1
39381	7594	2
30020	9368	4
1605	9603	4
101	5618	10
44549	1507	12
101	7188	15
101	3480	7
1624	1915	12
122	6387	33
113	9723	10
2364	9156	17
181	4189	14
216	6129	7
12	3159	7
28693	8089	2
4181	6979	10
4788	3065	6
103	2783	0
14	850	16
14	1180	18
14245	8374	11
102	2747	6
12651	8413	16
12985	2868	1
