6269	101	3	18.98
103	2573	4	20.73
621	16	32	353.69
204	765	4	35.64
344	108	3	4.54
833	101	17	79.22
2146	12	3	6.16
3263	12	3	8.93
104	365	4	4.85
104	433	10	33.38
317	12	50	195.48
263	1767	6	77.44
13	537	3	15.96
107	173	53	261.57
157	155	6	27.53
322	689	14	181.93
216	165	4	20.37
2311	103	4	20.73
114	4124	3	22.2
7496	101	3	18.98
133	316	7	41.51
276	114	7	20.83
7475	21	3	23.26
110	176	5	4.49
3761	3714	5	115.25
101	5429	3	14.57
212	12	17	10.28
819	14	5	8.58
2315	12	3	6.91
177	764	3	23.25
104	1502	4	16.37
947	107	4	15.54
319	2008	3	35.15
12	1637	3	4.49
117	1424	7	51.17
101	4664	3	14.57
837	299	4	40.93
107	7465	3	26.69
1376	14	4	9.63
872	114	3	11.41
5203	21	4	31.02
3491	101	6	37.96
1496	101	3	5.8
175	126	4	11.12
4304	101	3	12.42
286	103	6	7.74
105	863	3	7.44
155	996	8	81.55
106	145	8	5.22
156	195	3	11.86
414	111	4	10.36
5182	101	3	14.57
136	219	3	10.37
104	2984	5	31.81
164	1194	3	25.49
329	178	4	25.94
150	1791	3	27.37
6571	101	3	18.98
2	244	8	20.55
103	452	15	63.45
2557	1015	3	44.72
400	127	3	13.91
861	102	4	10.96
637	12	6	6.08
2389	105	3	14.17
225	14	20	29.72
101	6464	3	18.98
103	2826	3	14.34
8	651	4	20.63
101	275	12	13.7
351	107	6	15.1
967	119	3	13.93
177	4990	3	37.55
12	4779	3	12.5
111	524	5	17.29
490	12	6	3.94
101	7567	3	18.98
16	630	32	353.69
277	377	3	23.13
925	16	3	15.67
483	13	4	22.8
108	338	3	4.47
3290	101	5	26.32
108	188	6	7.18
532	109	4	12.16
123	523	15	117.35
4866	21	3	18.81
12	106	172	8.17
101	4174	4	20.39
108	525	6	22.22
986	111	4	17.49
235	188	3	15.45
114	1763	3	16.14
122	135	12	30.18
136	1653	3	24.4
114	3443	3	20.63
488	995	3	33.85
1533	123	6	49.69
106	909	5	20.77
176	113	82	547.33
9	14	108	139.2
107	5350	4	35.59
103	2999	4	22.22
501	107	3	6.25
3543	12	3	8.93
3105	101	4	17.84
104	946	4	12.26
146	158	3	8.93
126	106	16	13.54
197	16	6	17.19
103	197	85	478.75
347	109	4	8.43
101	482	8	12.66
118	792	3	12.6
3061	21	7	54.29
105	262	16	50.89
113	2027	4	24.56
2788	132	3	27.84
148	223	27	239.01
274	402	3	23.63
527	265	7	71.43
121	569	10	67.43
116	1605	5	33.31
849	12	6	8.98
115	113	34	28.3
2698	12	3	7.81
735	117	3	11.46
422	12	28	94.8
594	107	4	11.66
271	321	3	21.61
322	198	9	75.77
116	153	13	33.29
820	12	12	34.49
2809	107	3	17.22
133	2149	3	25.98
4945	101	3	14.57
842	109	3	10.13
117	2546	3	19.68
111	371	8	29.12
111	431	3	6.43
1126	101	3	4.06
625	484	3	30.85
2151	106	6	41.34
102	206	10	13.02
2018	21	8	52.13
215	298	3	18.87
107	4295	4	30.61
115	4058	4	34.45
104	3333	3	15.86
12	506	19	54.13
12	6668	3	16.87
108	171	17	47.14
504	115	15	95.47
114	1915	4	25.18
251	809	8	91.01
103	1310	3	9.2
108	290	4	6.56
117	668	10	62.01
104	1913	4	18.85
666	12	8	12.44
389	317	3	24.14
117	2024	3	18.07
103	6497	3	23.75
105	2708	5	32.67
1699	891	3	41.8
2011	105	3	12.6
187	157	4	17.5
999	144	4	32.68
104	707	8	30.79
371	1419	3	34.17
1501	104	4	16.37
104	843	11	55.63
5198	12	3	12.5
2147	14	3	8.2
152	122	6	12.61
3078	111	3	19.64
165	169	4	17.13
4042	101	4	20.39
110	1977	3	15.76
109	2278	3	16.46
325	111	32	202.3
653	101	31	196.24
109	346	4	8.32
5133	21	3	18.81
2	726	3	9.19
101	4589	3	14.57
938	317	4	42.65
106	104	61	8.02
101	695	6	10.38
355	14	11	16.55
133	249	5	23.66
2277	2465	8	170.6
1988	2	3	15.68
16	137	5	5.79
101	2021	3	7.37
104	1400	3	9.92
107	443	5	14.03
341	114	4	9.59
1735	101	4	11.49
128	996	3	19.85
108	631	5	18.68
223	132	18	125.62
449	425	3	28.02
115	1968	3	17.46
372	101	25	83.92
4840	108	3	23.04
381	105	6	12.91
489	14	14	39.02
417	144	16	150.34
113	161	59	324.54
873	12	7	13.09
3254	2488	3	53.31
3496	3231	4	78.71
363	110	3	5.05
101	951	5	9.96
105	775	6	21.76
2208	12	3	6.16
8	497	13	93.75
1442	21	5	20.9
617	389	7	81.38
485	106	31	227.41
124	1463	4	28.61
161	196	3	12.15
133	120	23	74.87
718	14	5	7.27
12	4235	3	10.39
255	428	3	23.57
101	2022	3	7.37
102	847	4	10.62
920	12	6	9.95
2554	101	4	14.56
1023	152	6	56.76
341	109	8	27.02
107	470	11	50.32
546	111	3	7.73
711	197	3	23.72
117	228	15	64.75
111	2198	7	55.62
109	375	7	23.64
1412	101	4	9.42
101	2548	3	8.83
114	323	5	13.07
101	2600	3	8.83
5364	21	4	31.02
706	106	13	74.77
145	114	15	34.19
101	2396	3	8.83
507	9	29	281.14
114	204	7	14.93
6504	107	3	26.69
106	175	10	15.5
112	1987	3	16.13
104	2950	3	14.65
175	2	6	6.68
101	818	8	20.74
1070	107	5	22.91
1021	637	3	35.4
2053	626	7	113.48
237	120	3	5.46
115	2601	8	78.91
9	700	16	139.47
279	363	3	22.68
1623	6714	3	58.72
12	3412	3	8.93
8	548	10	68.38
144	1533	3	25.46
363	113	6	18.63
118	252	13	59.84
115	665	20	157.28
120	219	5	12.62
844	106	11	63.9
2785	101	4	16.01
672	101	18	72.87
104	1174	3	8.73
193	109	14	38.89
3673	1874	5	101.39
2433	21	8	62.05
124	213	4	11.03
115	5410	3	25.1
21	115	39	4.05
113	180	6	8.07
117	993	4	20.46
651	12	7	9.23
1178	105	4	14.67
110	2197	4	24.86
110	2301	3	17.36
1337	102	3	9.06
1975	14	3	7.52
2494	12	3	6.91
912	106	3	9.3
996	101	8	24.74
101	1182	5	12.08
404	978	4	46.1
162	118	10	26.42
110	976	4	17.42
459	230	5	43.79
155	327	7	49.49
111	1368	4	20.01
105	269	6	8.56
155	208	7	41.06
2079	101	3	8.04
107	3269	4	28
426	116	3	8.01
2867	12	3	7.81
101	2855	5	23.43
107	2001	5	30.74
115	157	18	58.41
121	6654	3	32.7
107	1933	10	88.99
7	7	14	122.08
115	240	13	50.96
114	768	12	78.82
3287	14	3	11.09
3701	12	4	17.62
1189	14	4	8.08
5960	105	3	24.59
3416	107	4	28
121	268	6	22.73
111	1263	3	12.71
125	1377	3	21.53
101	241	11	7.42
106	627	3	7.17
119	106	31	17.56
5553	101	3	18.98
400	109	3	5.92
168	217	5	28.12
113	879	4	17
12	2895	3	7.81
105	1294	4	15.75
2210	101	3	8.04
143	160	3	8.92
1341	169	7	76.74
112	331	5	12.6
916	110	3	10.69
113	2267	3	17.09
117	737	13	92.49
6940	14	3	19.15
1013	14	5	10.69
257	3983	3	39.18
215	133	13	80.8
112	119	34	37.46
112	182	6	7.8
1044	476	4	48.02
111	465	6	22.05
102	184	14	20.53
5988	12	3	16.87
839	12	12	35.71
108	5193	3	23.04
101	1605	5	15.94
891	425	4	45.77
371	225	7	61.61
12	540	18	52.34
1932	101	3	7.37
108	320	7	19.8
108	260	5	9.17
101	3126	5	26.32
2270	111	3	16.56
436	12	10	12.53
1103	14	5	11.74
148	395	7	52.8
114	2463	3	18.4
101	205	84	369.29
523	123	5	26.68
1119	14	6	16.4
201	14	21	25.49
101	324	14	23.37
101	256	14	17.1
105	372	4	5.7
315	102	6	8.36
721	720	5	61.93
191	198	31	296.93
111	1594	5	30.34
5589	101	3	18.98
108	1285	3	12.34
949	106	5	21.28
183	101	14	5.96
116	112	26	12.55
300	654	3	27.17
128	208	13	76.12
235	141	7	39.97
103	1427	7	36.29
128	327	3	12.21
1206	1592	8	139.42
1014	1569	5	75.43
571	12	12	25.34
209	157	3	12.83
2436	12	7	33.47
448	127	5	29.9
103	5815	3	23.75
102	481	15	64.33
12	741	20	80
117	531	11	65.43
3327	449	3	41.99
1028	266	3	29.7
3429	125	3	27.72
1443	102	3	9.48
770	14	6	11.47
3804	101	4	20.39
859	165	3	23.3
111	828	6	28.62
345	106	6	14.34
525	101	13	34.86
1576	101	5	15.94
728	118	5	25.56
2097	625	4	57.51
110	352	15	71.09
115	3284	5	43.91
101	7236	3	18.98
118	313	12	58.95
4206	21	5	38.78
101	917	6	13.56
602	101	33	208.91
106	445	4	9.17
700	8	19	173.31
2095	12	4	10.75
1488	14	3	5.95
429	113	3	6.9
103	660	3	5.12
132	12	110	202.41
104	492	4	7.22
104	356	14	47.86
633	628	32	618.79
1945	12	4	9.78
114	238	6	13.42
111	3648	3	21.21
104	312	8	15.9
105	7208	3	24.59
622	722	29	546.58
203	114	17	64.13
106	342	4	6.71
4429	325	3	42.95
119	659	3	11.56
4329	101	3	12.42
128	2259	7	76.15
12	1048	5	7.95
1974	12	3	5.52
1357	12	6	14.67
107	5547	4	35.59
110	1944	3	15.76
297	12	11	6.71
308	104	6	8.84
2827	102	4	22.02
1522	14	4	10.25
945	12	8	18.7
111	1173	3	12.32
105	433	4	7.01
136	2602	3	27.29
115	470	5	19.18
121	282	8	35.66
104	608	9	34.41
1390	101	3	5.38
104	812	3	6.52
832	101	14	56.86
12	1192	5	9.01
628	16	32	353.69
2	185	20	67.43
123	150	6	13.63
138	114	29	92.48
108	204	6	8.95
113	4299	3	21.74
549	102	3	4.25
1663	14	5	16.21
1249	12	4	5.99
101	7551	3	18.98
111	404	3	6.1
1886	979	6	98.22
111	584	3	8.2
1100	104	3	8.39
179	568	4	31.41
141	2126	3	27.57
190	166	3	12.04
1540	101	5	15
2394	101	3	8.83
183	239	13	105.64
695	101	7	14.14
125	4803	3	31.53
12	176	19	6.51
3532	21	4	23.47
4295	101	3	12.42
527	284	3	25.43
108	1348	3	12.75
103	316	26	112.74
126	176	4	11.25
2440	21	4	20.1
186	449	3	20.58
105	117	51	34.01
101	469	11	23.98
12	1908	5	14.88
103	773	4	9.9
151	105	12	12.19
120	332	3	7.82
125	3577	4	40.42
3436	12	3	8.93
534	12	10	15.91
1585	12	4	8.21
141	344	5	30.13
1223	21	16	124.13
1212	101	3	4.66
2052	118	3	19.55
1109	112	3	12.28
12	2406	3	6.91
238	106	9	20.05
1229	1062	3	40.2
104	3934	3	17.41
5321	104	3	19.6
261	14	10	8.24
107	240	7	13.15
104	1324	5	21.38
136	4082	3	31.14
917	14	6	13.87
503	12	7	6.36
181	1455	3	27.66
140	170	3	8.85
2	1899	3	15.68
