293	198	13	54.29
110	2354	4	8.13
1724	57	4	11.03
2314	133	3	9.73
183	104	54	10.06
145	1562	10	60.44
1104	188	3	10.79
708	126	9	27.08
110	2278	6	16.74
209	133	14	23.11
1593	218	3	14.17
12	3161	7	7.44
6237	2828	3	45.11
270	6304	3	29.64
2255	120	3	7.56
566	158	5	12.55
120	4371	3	11.91
171	1993	5	28.72
759	8	7	9.82
342	109	18	18.39
184	977	6	28.22
210	984	3	11.2
812	2068	3	24.67
240	362	5	16.39
105	2779	5	9.62
101	285	60	85.99
619	294	4	17.42
2820	2899	3	35.55
362	1006	4	23.46
21	320	15	40.79
102	1421	9	6.78
450	243	3	8.21
223	286	4	8.09
2225	2054	3	31
505	393	3	12.16
702	2862	4	38.72
614	253	3	9.73
162	3275	3	20
688	834	12	116.49
642	182	3	7.34
117	5106	3	12.76
12	1891	11	11.7
217	569	3	8.48
1499	103	9	9.21
3099	116	4	13.57
227	2726	3	18.07
2819	101	7	15.75
6762	105	3	11.55
5597	161	3	19.43
1240	138	5	17.99
642	9	12	26.5
128	402	7	10.83
204	1017	3	11.18
6077	666	3	35.83
238	391	3	7.06
105	363	17	11.3
1350	467	3	19.37
506	601	3	14.69
101	3029	7	15.75
272	149	6	7.52
7590	110	3	13.78
238	571	3	9.04
103	2342	7	9.36
3751	592	3	26.66
5628	108	3	8.79
6217	9	3	15.8
2369	2385	3	32.63
12	822	20	8.78
117	3753	3	9.18
314	12	46	7.47
2287	108	4	7.28
1659	101	9	9.11
109	1105	9	17.39
518	247	4	14.4
292	414	4	13.76
246	4638	3	22.16
406	287	4	14.54
410	2594	3	22.36
580	410	3	13.23
1033	431	3	16.9
153	2398	3	12.1
684	103	15	8.6
598	1221	3	19.59
884	4792	3	32.95
1613	9	5	11.08
834	598	3	17.26
195	1357	3	12.33
622	393	6	35.29
1706	372	3	18.68
722	358	7	44.21
105	1247	10	19.25
109	2237	5	10.92
5356	713	3	31.58
282	383	3	7.87
130	2571	3	10.4
473	1567	3	19.7
127	965	5	11.56
1570	509	4	29.48
811	528	4	24.96
210	1701	3	14.46
6349	6555	3	54.67
153	600	4	8.36
1437	423	3	18.59
772	369	5	29.53
303	2854	5	42.4
595	238	3	9.4
445	357	3	10.67
559	271	4	15.37
772	429	3	15.28
126	113	43	9.27
8	866	6	8.64
7489	2689	3	44.08
3880	107	4	12.22
668	772	6	45.5
102	152	87	9.5
161	565	4	8.58
1090	104	11	8.63
415	102	23	12.51
487	142	4	6.98
108	3093	5	13.87
1787	1049	11	146
188	1047	4	16.37
810	1435	3	22.85
9	401	19	42.95
2120	455	3	21.19
610	1477	4	31.32
104	3666	5	12.78
1498	137	3	7.77
3448	8	5	21
162	974	3	8.13
4057	6297	3	47.94
839	158	5	16.16
2507	2460	7	103.64
109	2424	4	6.67
3580	5967	3	41.85
161	234	7	10.39
6599	438	3	33.52
149	2605	3	12.65
121	1106	4	6.83
589	266	3	10.02
205	1053	3	11.74
1186	1	3	7.25
7475	102	3	7.13
624	8	12	25.42
112	120	93	61.23
105	3694	4	8.39
1900	104	8	9.51
8	821	6	7.66
4142	104	5	12.78
637	175	3	6.81
2	4341	3	10.23
9	4732	4	21.07
123	3781	3	10.84
6234	527	3	34.19
119	1237	4	6.92
150	517	4	6.86
116	151	30	19.08
315	1287	5	32.26
538	347	3	11.24
349	3230	4	32.86
3336	428	3	26.49
9	2813	3	6.83
6306	393	3	32.36
259	1345	12	103.45
492	1064	4	26.27
673	278	3	11.22
2152	110	5	11.45
992	548	3	18.82
129	116	41	20.33
267	141	8	10.83
105	7651	3	11.55
1022	114	7	14.63
115	919	7	13.71
4906	967	4	50.57
191	589	3	7.7
8	2465	5	16.12
277	363	3	7.58
5993	5992	4	70.59
222	3171	4	28.18
111	1282	7	14.42
118	5330	3	13.61
185	712	4	13.04
5	354	3	7.25
820	185	3	8.78
158	1932	3	11.75
1171	12	15	7.18
6297	4788	3	50.17
2166	108	9	39.2
179	12	100	19.23
848	101	14	8.95
1188	782	8	77.38
325	108	32	63.63
4831	6478	3	50.17
105	228	38	40.57
128	249	30	98.57
102	3973	5	11.88
8	3160	5	18.18
105	116	154	59.27
7344	101	3	6.75
6286	101	3	6.75
105	178	32	6.83
170	791	3	7.58
5252	969	4	50.57
382	9	9	6.91
1802	158	4	17.47
2484	8	3	6.79
162	1787	6	34.04
2097	120	3	6.9
283	104	30	7.22
3178	868	3	27.6
1567	181	4	18.75
3810	514	3	25.72
535	268	3	9.63
9	1276	7	17.36
123	315	8	7.48
135	1624	3	7.99
155	1047	5	17.66
119	2809	3	8.59
909	3556	5	57.55
2301	109	8	29.79
1594	853	3	23.14
881	177	7	32.41
8	1943	5	13.15
137	120	25	8.57
171	1781	3	12.76
166	1154	3	9.06
107	209	21	7.69
156	193	8	9.76
101	6554	3	6.75
912	1382	7	69.58
112	1445	6	11.7
101	362	26	8.84
5318	162	3	20
6839	805	3	36.86
1528	120	4	9.41
624	5411	3	30.67
134	3317	3	12.56
3656	6635	3	46.35
484	162	6	16.95
114	452	9	10.83
181	1239	4	17.45
1703	648	3	21.93
108	1705	9	26.42
357	1672	3	18.21
1710	129	3	7.52
4323	133	3	14.21
794	152	5	15.15
16	487	7	12.74
110	14	962	10.28
914	2	6	10.78
3227	5582	3	40.61
4655	8	4	21
551	125	6	9.48
2109	102	9	15.62
989	3825	5	64.11
198	2923	3	17.83
345	407	3	9.81
167	464	4	8.15
109	7631	3	13.43
163	1245	3	9.08
1072	604	4	27.76
270	1061	3	13.63
1446	128	4	10.82
368	596	4	18.86
900	1148	3	21.65
1251	153	3	8.4
222	101	47	13.68
101	7064	3	6.75
119	4286	3	11.2
2933	293	4	30.64
167	4881	3	20.11
14	332	57	8.13
4884	9	3	11.45
14	127	369	26.85
5448	1116	3	34.33
1521	114	7	20.87
104	2740	6	7.64
131	157	14	7.58
2518	119	7	35.48
521	12	30	12.07
4655	5162	4	70.59
4625	112	4	14.76
944	9	6	9.26
4481	134	4	22.64
3077	153	4	21.66
3135	103	6	9.98
391	110	12	9.17
6454	5448	3	50.17
301	780	4	18.91
1718	12	12	12.76
3226	9	6	26.03
177	121	16	9.83
6435	105	3	11.55
2236	101	7	7.78
4403	124	3	12.8
205	435	3	6.95
102	7237	3	7.13
4620	197	4	31.24
488	13	4	9.52
308	147	8	14.63
380	161	7	17.24
162	504	6	17.59
524	187	3	6.65
446	508	16	134.78
1061	6305	3	38.45
380	108	28	60.4
1960	101	9	14.54
534	414	9	60.52
110	3883	3	7.47
354	419	3	10.36
421	1394	3	18.59
1007	626	4	28.32
103	305	58	106.43
111	1676	5	9.04
2830	1624	3	31.62
152	1411	3	8.98
280	1420	3	15.33
133	1645	3	7.88
148	6030	3	22.65
214	1314	3	13.06
7200	104	3	7.66
247	552	4	14.85
8	5078	3	11.4
1096	8	5	6.94
1299	749	3	21.36
4796	8	3	11.4
3425	593	3	26.46
1242	142	4	13.45
182	695	3	7.74
110	7590	3	13.78
12	411	36	12.51
1219	137	4	11.03
1112	8	8	19.88
795	183	3	8.45
5	7955	3	29.48
2862	556	3	24.84
693	542	3	15.51
112	4188	3	8.31
291	324	3	7.17
543	113	17	43.97
101	5413	3	6.75
134	2366	3	9.61
5553	102	4	9.51
111	1930	5	11.1
2762	1188	7	87.74
844	505	5	33.32
1810	140	3	9.35
395	162	4	6.88
103	4823	4	10.03
12	308	52	16.5
448	222	3	7.58
12	107	880	124.85
123	3524	3	10.84
420	211	3	6.98
7418	104	3	7.66
1264	8	8	22.36
376	156	5	8.98
393	1758	4	28.87
151	1908	3	10.45
12	160	131	8.53
564	115	7	7.57
1936	148	4	18.08
208	933	4	17.04
9	4477	3	9.37
2534	1869	3	31.2
2131	134	3	8.91
696	173	3	7.38
114	3713	3	8.36
756	12	22	10.37
640	108	17	37.67
205	9	31	49.89
2725	12	8	8.51
1127	9	5	8.1
153	6358	3	23.31
1062	642	3	19.24
156	1655	3	10.58
102	714	16	10.67
121	335	8	7.38
457	249	5	18.63
205	284	4	7.45
105	3615	4	8.39
287	406	4	14.54
246	112	15	7.34
4739	101	4	9
1424	811	3	22.64
1859	105	6	9.53
2656	116	6	25.43
135	103	129	26.17
498	130	6	10.86
6610	103	3	7.52
103	562	34	85.51
5556	112	3	10.36
127	375	10	19.29
560	437	3	13.15
108	8342	3	13.05
103	6506	3	7.52
3448	994	4	43.4
715	289	3	11.93
967	260	3	12.51
789	300	5	26.11
4688	1075	4	51.52
148	267	9	15.9
284	260	5	13.54
460	116	11	19.66
7955	5	3	29.48
3975	103	5	12.54
101	795	17	14.79
424	6261	3	33.2
424	205	3	6.95
753	138	5	12.67
8	1175	11	36.67
104	5068	4	10.22
14	375	49	6.98
583	262	7	35.33
349	354	3	9.27
1155	513	8	68.49
147	883	16	95.04
583	146	5	10.84
9	1936	5	14.57
994	101	12	7.49
1049	2310	3	26.66
3600	109	4	10.72
2732	156	3	13.34
366	109	12	7.21
578	183	3	6.84
3252	117	3	9.18
115	1587	4	7.18
218	102	43	9.22
2808	115	3	7.5
603	133	6	12.78
114	126	40	8.76
316	371	3	8.83
300	604	11	71.93
1145	480	3	17.93
